source_key,keyword,count,relative_path,path
29f_usageclientid,timeline,4,29f1_final_usageclientid_verdict_by_focus.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f1_final_usageclientid_verdict_by_focus.csv
29f_usageclientid,usageClientId,2,29f2_adopted_target_usageclientid_transitions.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f2_adopted_target_usageclientid_transitions.csv
29f_usageclientid,external,1,29f2_adopted_target_usageclientid_transitions.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f2_adopted_target_usageclientid_transitions.csv
29f_usageclientid,usageClientId,2,29f3_external_cluster_usageclientid_transitions.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f3_external_cluster_usageclientid_transitions.csv
29f_usageclientid,Ngoc,108,29f3_external_cluster_usageclientid_transitions.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f3_external_cluster_usageclientid_transitions.csv
29f_usageclientid,external,157,29f3_external_cluster_usageclientid_transitions.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f3_external_cluster_usageclientid_transitions.csv
29f_usageclientid,timeline,10,29f3_external_cluster_usageclientid_transitions.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f3_external_cluster_usageclientid_transitions.csv
29f_usageclientid,usageClientId,2,29f5_final_usageclientid_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f5_final_usageclientid_boundary_statement.csv
29f_usageclientid,Ngoc,2,29f5_final_usageclientid_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f5_final_usageclientid_boundary_statement.csv
29f_usageclientid,external,2,29f5_final_usageclientid_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f5_final_usageclientid_boundary_statement.csv
29f_usageclientid,timeline,1,29f5_final_usageclientid_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f5_final_usageclientid_boundary_statement.csv
29f_usageclientid,TARGET_BROAD_RAW_UUID_FROM_TO_SUPPORTED,3,29f6_usageclientid_score_update_reference.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f6_usageclientid_score_update_reference.csv
29f_usageclientid,usageClientId,4,29f6_usageclientid_score_update_reference.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f6_usageclientid_score_update_reference.csv
29f_usageclientid,TARGET_BROAD_RAW_UUID_FROM_TO_SUPPORTED,6,29f_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_MASTER_SUMMARY.json
29f_usageclientid,usageClientId,22,29f_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_MASTER_SUMMARY.json
29f_usageclientid,Ngoc,1,29f_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_MASTER_SUMMARY.json
29f_usageclientid,external,12,29f_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_MASTER_SUMMARY.json
